age_range,gender,semester_year,academic_stress,financial_stress,family_stress,career_stress,time_management_stress,relationship_stress,study_motivation,screen_time,family_support,teacher_support,loneliness,semester_break_thought,last_semester_gpa,current_cgpa,class_attendance,study_hours,academic_backlog,result_drop,tuition_pressure,part_time_work_effect,pressure_for_marriage,continue_study_if_married
18–25,Female / নারী,6th semester / ৬ষ্ঠ সেমিস্টার,বেশি,মাঝারি,মাঝারি,বেশি,সামান্য/নেই,মাঝারি,Moderate / মাঝারি,Less than 1 hour / ১ ঘণ্টার কম,Neutral / নিরপেক্ষ,Agree / সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Often / প্রায়ই,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,More than 4 hours / ৪ ঘণ্টার বেশি,Yes,Not sure / নিশ্চিত নই,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Not sure
18–25,Male / পুরুষ,2nd semester / ২য় সেমিস্টার,সামান্য/নেই,মাঝারি,মাঝারি,মাঝারি,সামান্য/নেই,সামান্য/নেই,High / বেশি,1–2 hours / ১–২ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,2.50–2.99,3.00–3.49,75%–89%,2–4 hours / ২–৪ ঘণ্টা,No,Not sure / নিশ্চিত নই,Low pressure / কম চাপ,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",Very high pressure,Definitely continue
18–25,Female / নারী,8th semester or above / ৮ম সেমিস্টার বা এর বেশি,মাঝারি,সামান্য/নেই,মাঝারি,বেশি,মাঝারি,মাঝারি,High / বেশি,2–4 hours / ২–৪ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Agree / সম্মত,Agree / সম্মত,No / না,3.00–3.49,2.50–2.99,75%–89%,2–4 hours / ২–৪ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably discontinue
18–25,Female / নারী,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,বেশি,মাঝারি,মাঝারি,মাঝারি,বেশি,বেশি,High / বেশি,1–2 hours / ১–২ ঘণ্টা,Agree / সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,Strongly agree / সম্পূর্ণ সম্মত,Sometimes / মাঝে মাঝে,2.50–2.99,3.00–3.49,65%–74%,1–2 hours / ১–২ ঘণ্টা,No,Not sure / নিশ্চিত নই,Moderate pressure / মাঝারি চাপ,"Yes, it moderately affects my study / করি, মাঝারি প্রভাব ফেলে",No pressure,Definitely discontinue
18–25,Female / নারী,6th semester / ৬ষ্ঠ সেমিস্টার,বেশি,মাঝারি,বেশি,বেশি,সামান্য/নেই,সামান্য/নেই,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Strongly agree / সম্পূর্ণ সম্মত,No / না,3.00–3.49,3.00–3.49,65%–74%,1–2 hours / ১–২ ঘণ্টা,No,Not sure / নিশ্চিত নই,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably continue
18–25,Female / নারী,2nd semester / ২য় সেমিস্টার,মাঝারি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,মাঝারি,বেশি,High / বেশি,2–4 hours / ২–৪ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Disagree / অসম্মত,Often / প্রায়ই,3.50–4.00,2.00–2.49,65%–74%,2–4 hours / ২–৪ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Definitely continue
18–25,Female / নারী,1st semester / 1st year / ১ম সেমিস্টার / ১ম বর্ষ,বেশি,সামান্য/নেই,মাঝারি,মাঝারি,সামান্য/নেই,মাঝারি,Very low / খুব কম,1–2 hours / ১–২ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,No / না,Below 2.00 / ২.০০ এর নিচে,2.00–2.49,50%–64%,Less than 1 hour / ১ ঘণ্টার কম,Yes,Not sure / নিশ্চিত নই,Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Not sure
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,মাঝারি,সামান্য/নেই,মাঝারি,মাঝারি,সামান্য/নেই,বেশি,Low / কম,1–2 hours / ১–২ ঘণ্টা,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,Agree / সম্মত,Often / প্রায়ই,2.50–2.99,2.00–2.49,65%–74%,1–2 hours / ১–২ ঘণ্টা,No,Not sure / নিশ্চিত নই,Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Very high pressure,Probably continue
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,সামান্য/নেই,সামান্য/নেই,মাঝারি,মাঝারি,সামান্য/নেই,মাঝারি,High / বেশি,2–4 hours / ২–৪ ঘণ্টা,Disagree / অসম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",2.00–2.49,3.00–3.49,50%–64%,Less than 1 hour / ১ ঘণ্টার কম,Yes,No / না,Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Moderate pressure,Probably discontinue
18–25,Male / পুরুষ,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,মাঝারি,সামান্য/নেই,মাঝারি,সামান্য/নেই,মাঝারি,সামান্য/নেই,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Disagree / অসম্মত,Agree / সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,Sometimes / মাঝে মাঝে,3.00–3.49,2.00–2.49,65%–74%,1–2 hours / ১–২ ঘণ্টা,Yes,Not sure / নিশ্চিত নই,No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Definitely continue
